1 - - 127.0.0.1 - - [2019/05/11 11:45:02] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:23:46] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:02] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:03] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:05] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:05] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:06] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:08] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:09] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:10] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:11] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:25:13] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:20] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:21] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:22] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:23] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:25] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:26] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:27] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:28] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:29] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:26:32] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:43] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:44] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:45] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:46] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:47] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:48] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:49] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:51] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:51] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:27:52] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:24] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:25] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:26] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:27] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:28] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
1 - - 127.0.0.1 - - [2019/05/14 13:31:28] - - isSucess:true, matrix:[[57, 0.12814227], [97, 0.10718178], [53, 0.08996854], [93, 0.065114871], [91, 0.042349726], [6, 0.030389223], [95, 0.027444802], [67, 0.023181701], [90, 0.021293629], [59, 0.02034427], [32, 0.019060558], [55, 0.017649822], [92, 0.01742707], [74, 0.016788591], [51, 0.016463427], [54, 0.016462425], [50, 0.016047645], [10, 0.013467966], [61, 0.013318151], [52, 0.012944471]], key:None, category:None, information:None, url:D:/PythonIDE/pythonProgram/AI-Practice-Tensorflow-Notes-master/lenet5/test_pic/pic_send/3.png
